,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
172,2021-11-09,CRON,Cronos Group Inc.,5.7,-1.01,-15.05,2.119B,175.43859649122803
173,2021-11-09,DDD,3D Systems Corporation,29.01,-4.87,-14.37,3.707B,34.47087211306446
174,2021-11-09,DSEY,"Diversey Holdings, Ltd.",14.71,-2.3,-13.52,4.449B,67.98096532970767
175,2021-11-09,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,121.72,-18.05,-12.91,7.961B,8.21557673348669
176,2021-11-09,NEGG,"Newegg Commerce, Inc.",16.39,-2.43,-12.91,6.036B,61.01281269066504
177,2021-11-09,BLDP,Ballard Power Systems Inc.,16.91,-2.43,-12.56,5.033B,59.13660555884092
178,2021-11-09,SAVA,"Cassava Sciences, Inc.",78.41,-11.08,-12.38,3.138B,12.753475322025253
179,2021-11-09,AMC,"AMC Entertainment Holdings, Inc.",39.93,-5.13,-11.38,20.497B,25.043826696719258
180,2021-11-09,MWA,"Mueller Water Products, Inc.",15.43,-1.87,-10.82,2.447B,64.80881399870383
181,2021-11-09,LMND,"Lemonade, Inc.",62.94,-7.56,-10.72,3.874B,15.888147442008265
182,2021-11-09,PYPL,"PayPal Holdings, Inc.",205.42,-24.0,-10.46,241.375B,4.868075163080518
183,2021-11-09,PTRA,Proterra Inc.,11.21,-1.3,-10.39,2.38B,89.20606601248885
184,2021-11-09,TRIP,"TripAdvisor, Inc.",31.33,-3.54,-10.15,4.305B,31.91828917969997
185,2021-11-10,FUBO,fuboTV Inc.,25.47,-7.66,-23.12,3.608B,39.26187671770711
186,2021-11-10,MNDY,monday.com Ltd.,350.82,-93.88,-21.11,15.338B,2.8504646257339945
187,2021-11-10,IONQ,"IonQ, Inc.",18.23,-4.3,-19.09,3.509B,54.85463521667581
188,2021-11-10,LPRO,Open Lending Corporation,27.46,-6.4,-18.9,3.465B,36.41660597232338
189,2021-11-10,TOST,"Toast, Inc.",50.01,-10.74,-17.68,25.135B,19.99600079984004
190,2021-11-10,RXRX,"Recursion Pharmaceuticals, Inc.",16.14,-3.46,-17.65,2.719B,61.95786864931846
191,2021-11-10,GLBE,Global-e Online Ltd.,48.19,-9.43,-16.37,7.018B,20.751193193608632
192,2021-11-10,AFRM,"Affirm Holdings, Inc.",133.53,-24.26,-15.37,37.083B,7.488953793155096
193,2021-11-10,MARA,"Marathon Digital Holdings, Inc.",64.84,-11.25,-14.79,6.46B,15.42257865515114
194,2021-11-10,BRPHF,Galaxy Digital Holdings Ltd.,29.28,-4.65,-13.7,2.859B,34.15300546448087
195,2021-11-10,OLK,Olink Holding AB (publ),25.08,-3.93,-13.55,2.985B,39.87240829346093
196,2021-11-10,NVNXF,Novonix Limited,6.17,-0.95,-13.34,2.977B,162.07455429497568
197,2021-11-10,EYE,"National Vision Holdings, Inc.",55.22,-8.3,-13.07,4.521B,18.109380659181458
198,2021-11-10,RBLX,Roblox Corporation,95.26,-14.26,-13.02,54.789B,10.497585555322276
199,2021-11-10,EVBG,"Everbridge, Inc.",138.32,-20.26,-12.78,5.309B,7.2296124927703875
200,2021-11-10,BAK,Braskem S.A.,18.02,-2.63,-12.74,7.173B,55.49389567147614
201,2021-11-10,SKIN,The Beauty Health Company,25.23,-3.44,-12.0,3.366B,39.63535473642489
202,2021-11-10,AMPL,"Amplitude, Inc.",74.72,-10.08,-11.89,7.674B,13.383297644539615
203,2021-11-10,ADT,ADT Inc.,8.95,-1.14,-11.3,7.438B,111.731843575419
204,2021-11-10,PRGO,Perrigo Company plc,42.21,-5.22,-11.01,5.644B,23.69106846718787
205,2021-11-10,CERE,"Cerevel Therapeutics Holdings, Inc.",38.67,-4.75,-10.94,5.602B,25.85983966899405
206,2021-11-11,PSFE,Paysafe Limited,4.24,-3.03,-41.68,3.069B,235.8490566037736
207,2021-11-11,OSCR,"Oscar Health, Inc.",12.47,-4.05,-24.52,2.59B,80.19246190858058
208,2021-11-11,BMBL,Bumble Inc.,38.56,-9.19,-19.25,7.118B,25.933609958506224
209,2021-11-11,CRCT,"Cricut, Inc.",23.65,-5.25,-18.17,5.256B,42.28329809725159
210,2021-11-11,ESMT,"EngageSmart, LLC",26.58,-5.74,-17.76,4.278B,37.62227238525208
