PERMNO,date,TICKER,DIVAMT,PRC,RET,sprtrn
14347,20140930,HYND,0.07,22.89,-0.016702,-0.015514
14347,20141031,HYND,0.07,22.54,-0.012232,0.023201
14347,20141128,HYND,0.07,22.06,-0.01819,0.024534
14347,20141231,HYND,0.09317,21.38,-0.026602,-0.004189
14347,20150130,HYND,0.06,20.56,-0.035547,-0.031041
14347,20150227,HYND,0.065,21.51,0.049368,0.054893
14347,20150331,HYND,0.06,21.24,-0.009763,-0.017396
14347,20150430,HYND,0.06,21.6176,0.020603,0.008521
14347,20150529,HYND,0.065,-21.825,0.012601,0.010491
14347,20150630,HYND,0.07,22,0.011226,-0.021012
14347,20150731,HYND,0.065,21.37,-0.025682,0.019742
14347,20150831,HYND,0.07,20.6054,-0.032504,-0.062581
14347,20150930,HYND,0.075,20.0001,-0.025736,-0.026443
14347,20151030,HYND,0.075,20.36,0.021745,0.082983
14347,20151130,HYND,0.07,20.25,-0.001965,0.000505
14347,20151231,HYND,0.08,19.39,-0.038519,-0.01753
14347,20160129,HYND,0.075,18.5999,-0.03688,-0.050735
14347,20160229,HYND,0.075,18.3581,-0.008968,-0.004128
14347,20160331,HYND,0.075,18.58,0.016173,0.065991
14347,20160429,HYND,0.075,19.4,0.04817,0.002699
14347,20160531,HYND,0.075,19.3646,0.002041,0.015329
14347,20160630,HYND,0.085,-18.785,-0.025541,0.000906
14347,20160729,HYND,0.085,-19.045,0.018366,0.03561
14347,20160831,HYND,0.08,-19.33,0.019165,-0.001219
14347,20160930,HYND,0.08,19.5,0.012933,-0.001234
14347,20161031,HYND,0.085,-19.885,0.024102,-0.019426
14347,20161130,HYND,0.095,20.5271,0.037068,0.034174
14347,20161230,HYND,0.11308,21.5,0.052905,0.018201
14347,20170131,HYND,0.09,21.31,-0.004651,0.017884
14347,20170228,HYND,0.09,21.15,-0.003285,0.037198
14347,20170331,HYND,0.08,21.0332,-0.00174,-0.000389
14347,20170428,HYND,0.08,20.91,-0.002054,0.009091
14347,20170531,HYND,0.085,20.815,-0.000478,0.011576
14347,20170630,HYND,0.08,20.7043,-0.001475,0.004814
14347,20170731,HYND,0.075,-20.755,0.006071,0.019349
14347,20170831,HYND,0.08,20.4216,-0.012209,0.000546
14347,20170929,HYND,0.0875,20.625,0.014245,0.019303
14347,20171031,HYND,0.09,20.6512,0.005634,0.022188
14347,20171130,HYND,0.095,20.8109,0.012333,0.028083
14347,20171229,HYND,0.08507,20.5,-0.010852,0.009832
14347,20180131,HYND,0.09,21.0381,0.030639,0.056179
14347,20180228,HYND,0.09,21.66,0.033839,-0.038947
14347,20180329,HYND,0.085,21.14,-0.020083,-0.026885
14347,20180430,HYND,0.075,21.5097,0.021036,0.002719
14347,20180531,HYND,0.075,21.11,-0.015096,0.021608
14347,20180629,HYND,0.085,20.978,-0.002226,0.004842
14347,20180731,HYND,0.085,21.32,0.020355,0.036022
14347,20180831,HYND,0.09,21.15,-0.003752,0.030263
14347,20180928,HYND,0.095,21.54,0.022932,0.004294
14347,20181031,HYND,0.095,21.24,-0.009517,-0.069403
14347,20181130,HYND,0.1,20.76,-0.017891,0.017859
14347,20181231,HYND,0.13182,19.35,-0.061569,-0.091777
14347,20190131,HYND,0.085,20.13,0.044703,0.078684
14347,20190228,HYND,0.085,20.3708,0.016185,0.029729
14347,20190329,HYND,0.085,19.95,-0.016484,0.017924
14347,20190430,HYND,0.085,20.1999,0.016787,0.039313
14347,20190531,HYND,0.095,19.2086,-0.044372,-0.065778
14347,20190628,HYND,0.095,19.14,0.001374,0.06893
14347,20190731,HYND,0.095,19.1913,0.007644,0.013128
14347,20190830,HYND,0.085,18.1,-0.052435,-0.018092
14347,20190930,HYND,0.09,18.4,0.021547,0.017181
14347,20191031,HYND,0.09,18.3929,0.004505,0.020432
14347,20191129,HYND,0.085,18.455,0.007998,0.034047
14347,20191231,HYND,0.085,18.765,0.021403,0.02859
14348,20131129,,,,,0.028049
14348,20131231,HYZD,0.025,24.94,C,0.023563
14348,20140131,HYZD,0.075,24.9,0.001403,-0.035583
14348,20140228,HYZD,0.055,-24.88,0.001406,0.043117
14348,20140331,HYZD,0.065,-25.025,0.008441,0.006932
14348,20140430,HYZD,0.065,-25.205,0.00979,0.006201
14348,20140530,HYZD,0.07,25.1374,0.000095,0.02103
14348,20140630,HYZD,0.09,25.2299,0.00726,0.019058
14348,20140731,HYZD,0.09,24.98,-0.006338,-0.01508
14348,20140829,HYZD,0.09,24.97,0.003203,0.037655
14348,20140930,HYZD,0.06,24.53,-0.015218,-0.015514
14348,20141031,HYZD,0.07,24.67,0.008561,0.023201
14348,20141128,HYZD,0.075,24.34,-0.010336,0.024534
14348,20141231,HYZD,0.07739,23.08,-0.048587,-0.004189
14348,20150130,HYZD,0.07,23.77,0.032929,-0.031041
14348,20150227,HYZD,0.075,24.19,0.020825,0.054893
14348,20150331,HYZD,0.075,23.9364,-0.007383,-0.017396
14348,20150430,HYZD,0.075,23.8101,-0.002143,0.008521
14348,20150529,HYZD,0.08,24.192,0.019399,0.010491
14348,20150630,HYZD,0.085,23.7701,-0.013926,-0.021012
14348,20150731,HYZD,0.085,23.6899,0.000202,0.019742
14348,20150831,HYZD,0.085,22.9812,-0.026328,-0.062581
14348,20150930,HYZD,0.085,22.55,-0.015064,-0.026443
14348,20151030,HYZD,0.075,22.902,0.018936,0.082983
14348,20151130,HYZD,0.085,22.555,-0.01144,0.000505
14348,20151231,HYZD,0.085,21.918,-0.024474,-0.01753
14348,20160129,HYZD,0.085,21.24,-0.027055,-0.050735
14348,20160229,HYZD,0.09,-20.91,-0.011299,-0.004128
14348,20160331,HYZD,0.09,21.73,0.04352,0.065991
14348,20160429,HYZD,0.095,22.3202,0.031532,0.002699
14348,20160531,HYZD,0.095,-22.585,0.01612,0.015329
14348,20160630,HYZD,0.1,22.6074,0.00542,0.000906
14348,20160729,HYZD,0.1,22.93,0.018693,0.03561
14348,20160831,HYZD,0.1,-23.37,0.02355,-0.001219
14348,20160930,HYZD,0.105,23.6218,0.015267,-0.001234
14348,20161031,HYZD,0.11,23.4144,-0.004123,-0.019426
